5102050,PL,Grudzišdz,532855N,184539E,5118816,PL,GRUDZIADZ,532558N,184330E,1
5102050,PL,Grudzišdz,532855N,184539E,5118898,PL,WLOCLAWEK,523911N,190333E,0
5102160,PL,Włocławek,523908N,190333E,5118898,PL,WLOCLAWEK,523911N,190333E,1
5102160,PL,Włocławek,523908N,190333E,5130951,PL,OSTROLEKA,530505N,213423E,0
5102330,PL,Ostrołęka,530322N,213701E,5130951,PL,OSTROLEKA,530505N,213423E,1
5102330,PL,Ostrołęka,530322N,213701E,5130936,PL,KOLO,521239N,183754E,0
5103319,PL,Koło,521241N,183754E,5130936,PL,KOLO,521239N,183754E,1
5103319,PL,Koło,521241N,183754E,5100591,PL,ZAGAN,513615N,151856E,0
5104120,PL,Żagań,513615N,151856E,5100591,PL,ZAGAN,513615N,151856E,1
5104120,PL,Żagań,513615N,151856E,5118906,PL,ZARY,513805N,150813E,0
5104155,PL,Żary,513805N,150813E,5118906,PL,ZARY,513805N,150813E,1
5104155,PL,Żary,513805N,150813E,5100415,PL,"SKARZYSKO KAMIENNA",510657N,205253E,0
5104800,PL,"Skarżysko Kamienna",510657N,205254E,5100415,PL,"SKARZYSKO KAMIENNA",510657N,205253E,1
5104800,PL,"Skarżysko Kamienna",510657N,205254E,5118854,PL,"OSTROWIEC SWIETOKRZYSKI O",505601N,212235E,0
5104920,PL,"Ostrowiec Świętokrz.",505602N,212236E,5118854,PL,"OSTROWIEC SWIETOKRZYSKI O",505601N,212235E,1
5104920,PL,"Ostrowiec Świętokrz.",505602N,212236E,5118861,PL,PULAWY,512435N,220042E,0
5105003,PL,Puławy,512435N,220042E,5118861,PL,PULAWY,512435N,220042E,1
5105003,PL,Puławy,512435N,220042E,5100529,PL,WEGLINIEC,511724N,151323E,0
5105180,PL,Węgliniec,511724N,151323E,5100529,PL,WEGLINIEC,511724N,151323E,1
5105180,PL,Węgliniec,511724N,151323E,5100238,PL,"LUBAN SLASKI",510641N,151736E,0
5105250,PL,"Lubań Śl.",510640N,151735E,5100238,PL,"LUBAN SLASKI",510641N,151736E,1
5105250,PL,"Lubań Śl.",510640N,151735E,5118852,PL,OPOLE,503946N,175545E,0
5105321,PL,Łódź,503946N,175540E,5118852,PL,OPOLE,503946N,175545E,1
