8305820,IT,"RIMINI VISERBA",44.087778,12.532778,8738600,FR,"La Garenne Colombes",48.5434,2.1423,0
8307100,IT,"RIMINI MIRAMARE",44.030833,12.613889,8307100,IT,"Rimini Miramare",44.0148,12.3705,1
8307100,IT,"RIMINI MIRAMARE",44.030833,12.613889,8772115,FR,"Lyon St Paul",45.4557,4.4936,0
8308217,IT,"ROME TIBURTINA",41.877500,12.521389,8308217,IT,"Roma Tiburtina",41.5439,12.3153,1
8308217,IT,"ROME TIBURTINA",41.877500,12.521389,8711649,FR,Trilport,48.5737,2.5658,0
8309109,IT,"NAPLES PIAZZA GARIBALDI",40.839167,14.292222,8309109,IT,"Napoli Piazza Garibaldi",40.5103,14.1624,1
8309109,IT,"NAPLES PIAZZA GARIBALDI",40.839167,14.292222,8764107,FR,"St Bonnet de Rochefo",46.0847,3.0829,0
8311853,IT,ARDORE,38.172778,16.206944,8311853,IT,Ardore,38.1032,16.1226,1
8311853,IT,ARDORE,38.172778,16.206944,8758453,FR,"Les Eglisottes",45.0535,0.0243,0
8311855,IT,BIANCO,38.086111,16.153333,8311855,IT,Bianco,38.052,16.0912,1
8311855,IT,BIANCO,38.086111,16.153333,8729566,FR,Ors,50.0611,3.3735,0
8311860,IT,"BOVA MARINA",37.928333,15.924167,8311860,IT,"Bova Marina",37.5549,15.5526,1
8311860,IT,"BOVA MARINA",37.928333,15.924167,8717445,FR,Darnieulles,48.1153,6.2102,0
8311861,IT,CONDOFURI,37.926111,15.875000,8311861,IT,Condofuri,37.554,15.5229,1
8311861,IT,CONDOFURI,37.926111,15.875000,8711716,FR,LEINTREY,48.3723,6.4412,0
8312301,IT,"MESSINE CENTRALE",38.174722,15.551389,8312301,IT,"Messina Centrale",38.1104,15.3342,1
8312301,IT,"MESSINE CENTRALE",38.174722,15.551389,8718450,FR,Hericourt,47.3422,6.461,0
8400057,NL,"AMSTERDAM AMSTEL",52.344167,4.919167,8400057,NL,"Amsterdam Amstel",52.2047,4.5503,1
8400057,NL,"AMSTERDAM AMSTEL",52.344167,4.919167,8775679,FR,Peille,43.4731,7.2247,0
8400424,NL,MAASTRICHT,50.846389,5.713333,8400424,NL,Maastricht,50.5059,5.4221,1
8400424,NL,MAASTRICHT,50.846389,5.713333,8757148,FR,Perrusson,47.0534,1.0035,0
851A004,CH,VALLORBE,46.712222,6.370278,8579293,CH,Vallorbe,46.4243,6.2214,1
851A004,CH,VALLORBE,46.712222,6.370278,8746517,FR,"SARRANCE PONT",43.0221,0.3614,0
8501120,CH,LAUSANNE,46.516667,6.628889,85G0000,CH,Lausanne,46.31,6.3744,1
8501120,CH,LAUSANNE,46.516667,6.628889,8748552,FR,Pamproux,46.2359,0.0307,0
8501400,CH,AIGLE,46.316667,6.963611,8501400,CH,Aigle,46.19,6.5749,1
8501400,CH,AIGLE,46.316667,6.963611,8759227,FR,"Magnac Vicq",45.3743,1.2638,0
8501563,CH,"LES MARECOTTES",46.112222,7.011389,8501563,CH,"Les Marécottes",46.0644,7.0041,1
8501563,CH,"LES MARECOTTES",46.112222,7.011389,8711717,FR,AMENONCOURT,48.3734,6.4703,0
8501506,CH,VISP,46.293889,7.881389,8501605,CH,VISP,46.134,7.2129,1
8501506,CH,VISP,46.293889,7.881389,8767803,FR,Bourisp,42.4935,0.2014,0
8504221,CH,NEUCHATEL,46.996667,6.935556,8504221,CH,Neuchâtel,46.5948,6.5608,1
8504221,CH,NEUCHATEL,46.996667,6.935556,8746492,FR,"NAVAILLES ANGOS",43.2522,0.2054,0
8507000,CH,BERN,46.948889,7.438333,8507000,CH,Bern,46.5656,7.2618,1
8507000,CH,BERN,46.948889,7.438333,8747380,FR,Gourland,48.334,3.1001,0
8507492,CH,"INTERLAKEN OST",46.690556,7.868889,8507492,CH,"Interlaken Ost",46.4126,7.5208,1
8507492,CH,"INTERLAKEN OST",46.690556,7.868889,8744986,FR,"Lonlay le Tesson",48.3843,0.2104,0
8509000,CH,CHUR,46.853333,9.528333,8509000,CH,Chur,46.5112,9.3142,1
8509000,CH,CHUR,46.853333,9.528333,8738288,FR,"Viroflay Rive Droite",48.4819,2.1006,0
8509072,CH,"DAVOS DORF",46.809444,9.841944,8509072,CH,"Davos Dorf",46.4834,9.5031,1
8509072,CH,"DAVOS DORF",46.809444,9.841944,8761347,FR,Laguepie,44.0844,1.5807,0
8509073,CH,"DAVOS PLATZ",46.791389,9.820556,8509073,CH,"Davos Platz",46.4729,9.4914,1
8509073,CH,"DAVOS PLATZ",46.791389,9.820556,8771883,FR,Mouchard,46.5836,5.4758,0
8711608,FR,MORMANT,48.613889,2.888333,8711608,FR,Mormant,48.3649,2.5319,1
8711608,FR,MORMANT,48.613889,2.888333,8711512,FR,"ST HILAIRE BONNEVAL",45.424,1.215,0
8711609,FR,NANGIS,48.561111,3.128889,8711609,FR,Nangis,48.334,3.0045,1
8711609,FR,NANGIS,48.561111,3.128889,8761184,FR,Montrabe,43.3842,1.3126,0
8711613,FR,LONGUEVILLE,48.515278,3.247778,8711613,FR,Longueville,48.3049,3.15,1
8711613,FR,LONGUEVILLE,48.515278,3.247778,8761181,FR,Merenvielle,43.3811,1.0901,0
8711616,FR,PROVINS,48.555556,3.303056,8711616,FR,Provins,48.332,3.181,1
8711616,FR,PROVINS,48.555556,3.303056,8754622,FR,"Les Saules",48.4443,2.2503,0
8711630,FR,COULOMMIERS,48.807500,3.818056,8711630,FR,Coulommiers,48.4827,3.0455,1
8711630,FR,COULOMMIERS,48.807500,3.818056,8728616,FR,Steenwerck,50.4248,2.4708,0
8711800,FR,TROYES,48.295000,4.654167,8711800,FR,Troyes,48.1745,4.0352,1
8711800,FR,TROYES,48.295000,4.654167,8721592,FR,Chanoy,47.5524,5.1718,0
8711825,FR,VENDEUVRE,48.240278,4.466944,8711825,FR,Vendeuvre,48.1425,4.2804,1
8711825,FR,VENDEUVRE,48.240278,4.466944,8747311,FR,Yffiniac,48.2817,2.3916,0
8714104,FR,TOUL,48.678889,5.879444,8714104,FR,Toul,48.4044,5.5251,1
8714104,FR,TOUL,48.678889,5.879444,8769400,FR,"Le Creusot",46.4827,4.255,0
8714107,FR,FROUARD,48.755278,6.144444,8714107,FR,Frouard,48.4519,6.084,1
8714107,FR,FROUARD,48.755278,6.144444,8777353,FR,"Vic Mireval",43.3002,3.4757,0
8714108,FR,CHAMPIGNEULLES,48.735000,6.169167,8714108,FR,Champigneulles,48.4405,6.1009,1
8714108,FR,CHAMPIGNEULLES,48.735000,6.169167,8711630,FR,Coulommiers,48.4827,3.0455,0
8714115,FR,LUNEVILLE,48.587500,6.496944,8714115,FR,Lunéville,48.3516,6.2949,1
8714115,FR,LUNEVILLE,48.587500,6.496944,8772339,FR,"La Verpilliere",45.3739,5.0902,0
8714129,FR,NEUFCHATEAU,48.356944,5.689167,8714129,FR,Neufchâteau,48.213,5.4125,1
8714129,FR,NEUFCHATEAU,48.356944,5.689167,8881000,BE,Mons,50.2714,3.5631,0
8714141,FR,BACCARAT,48.452222,6.743889,8714141,FR,Baccarat,48.2708,6.4438,1
