uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
8767725,FR,"Accolay Le Pont",474007N,034231E,8707006,FR,"Accolay Le Pont",474007N,034231E,1
8767725,FR,"Accolay Le Pont",474007N,034231E,1100687,DE,"Achkarren Bahnhof",480336N,073628E,0
11G0586,DE,"Achkarren Bahnhof",480336N,073628E,1100687,DE,"Achkarren Bahnhof",480336N,073628E,1
11G0586,DE,"Achkarren Bahnhof",480336N,073628E,1100686,DE,"Achkarren WG",480332N,073622E,0
11G0585,DE,"Achkarren WG",480332N,073622E,1100686,DE,"Achkarren WG",480332N,073622E,1
11G0585,DE,"Achkarren WG",480332N,073622E,8001384,DE,Achterwehr,541851N,095757E,0
8098659,DE,Achterwehr,541853N,095750E,8001384,DE,Achterwehr,541851N,095757E,1
8098659,DE,Achterwehr,541853N,095750E,8042905,DE,Adorf(Erzgebirge),504549N,125225E,0
80G2413,DE,Adorf(Erzgebirge),504549N,125225E,8042905,DE,Adorf(Erzgebirge),504549N,125225E,1
80G2413,DE,Adorf(Erzgebirge),504549N,125225E,1100054,DE,Aftersteg/Wasserfall,475033N,075545E,0
11G0045,DE,Aftersteg/Wasserfall,475033N,075545E,1100054,DE,Aftersteg/Wasserfall,475033N,075545E,1
11G0045,DE,Aftersteg/Wasserfall,475033N,075545E,1100954,DE,"Aha Gasthaus Auerhahn",475000N,080757E,0
11G0633,DE,"Aha Gasthaus Auerhahn",475000N,080757E,1100954,DE,"Aha Gasthaus Auerhahn",475000N,080757E,1
11G0633,DE,"Aha Gasthaus Auerhahn",475000N,080757E,8025020,DE,Ahrbrück,502922N,065820E,0
80G2368,DE,Ahrbrück,502922N,065820E,8025020,DE,Ahrbrück,502922N,065820E,1
80G2368,DE,Ahrbrück,502922N,065820E,8001015,DE,Ahrensburg-Gartenholz,534118N,101506E,0
8089940,DE,Ahrensburg-Gartenh.,534118N,101506E,8001015,DE,Ahrensburg-Gartenholz,534118N,101506E,1
8089940,DE,Ahrensburg-Gartenh.,534118N,101506E,1100021,DE,"Aitern Abzw.",474754N,075419E,0
11G0014,DE,"Aitern Abzw.",474754N,075419E,1100021,DE,"Aitern Abzw.",474754N,075419E,1
11G0014,DE,"Aitern Abzw.",474754N,075419E,1100174,DE,"Aitern Am Schadenrain",474804N,075357E,0
11G0160,DE,"Aitern Am Schadenrain",474804N,075357E,1100174,DE,"Aitern Am Schadenrain",474804N,075357E,1
11G0160,DE,"Aitern Am Schadenrain",474804N,075357E,1100172,DE,"Aitern Holzinshaus",474832N,075253E,0
11G0158,DE,"Aitern Holzinshaus",474832N,075253E,1100172,DE,"Aitern Holzinshaus",474832N,075253E,1
11G0158,DE,"Aitern Holzinshaus",474832N,075253E,1100171,DE,"Aitern Multen",474917N,075103E,0
11G0157,DE,"Aitern Multen",474917N,075103E,1100171,DE,"Aitern Multen",474917N,075103E,1
11G0157,DE,"Aitern Multen",474917N,075103E,1100170,DE,"Aitern Obermulten",474922N,075116E,0
11G0156,DE,"Aitern Obermulten",474922N,075116E,1100170,DE,"Aitern Obermulten",474922N,075116E,1
11G0156,DE,"Aitern Obermulten",474922N,075116E,1100173,DE,"Aitern Rössle",474809N,075345E,0
11G0159,DE,"Aitern Rössle",474809N,075345E,1100173,DE,"Aitern Rössle",474809N,075345E,1
