uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
1000218,FI,Harjavalta,611909N,220516E,1000218,FI,HARJAVALTA,611839N,220802E,1
1000218,FI,Harjavalta,611909N,220516E,1033501,FI,PORI,612838N,214715E,0
1000220,FI,Pori/Björneborg,612905N,214625E,1033501,FI,PORI,612838N,214715E,1
1000220,FI,Pori/Björneborg,612905N,214625E,1036201,FI,JYVASKYLA,621418N,254449E,0
1000240,FI,Jyväskylä,621431N,254521E,1036201,FI,JYVASKYLA,621418N,254449E,1
1000240,FI,Jyväskylä,621431N,254521E,1034101,FI,SEINAJOKI,624730N,225040E,0
1000280,FI,Seinäjoki,624741N,225132E,1034101,FI,SEINAJOKI,624730N,225040E,1
1000280,FI,Seinäjoki,624741N,225132E,1000284,FI,ALAVUS,623704N,233601E,0
1000284,FI,Alavus,623705N,233827E,1000284,FI,ALAVUS,623704N,233601E,1
1000284,FI,Alavus,623705N,233827E,1034201,FI,VAASA,630516N,213326E,0
1000288,FI,Vaasa,630552N,213726E,1034201,FI,VAASA,630516N,213326E,1
1000288,FI,Vaasa,630552N,213726E,1000298,FI,LAPUA,625816N,230049E,0
1000298,FI,Lapua,625818N,230044E,1000298,FI,LAPUA,625816N,230049E,1
1000298,FI,Lapua,625818N,230044E,1000299,FI,KAUHAVA,630558N,230209E,0
1000299,FI,Kauhava,630601N,230211E,1000299,FI,KAUHAVA,630558N,230209E,1
1000299,FI,Kauhava,630601N,230211E,1034303,FI,PANNAINEN,633544N,224725E,0
1000305,FI,Pännäien/Bennäs,633439N,224424E,1034303,FI,PANNAINEN,633544N,224725E,1
1000305,FI,Pännäien/Bennäs,633439N,224424E,1000306,FI,"PIETARSAARI JAKOBSTAD",000000N,000000E,0
1000306,FI,"Helsinki-Kamppi Linja-Autoasema",000000N,000000E,1000306,FI,"PIETARSAARI JAKOBSTAD",000000N,000000E,1
1000306,FI,"Helsinki-Kamppi Linja-Autoasema",000000N,000000E,1034401,FI,KOKKOLA,635006N,230753E,0
1000312,FI,Kokkola/Karleby,634930N,230906E,1034401,FI,KOKKOLA,635006N,230753E,1
1000312,FI,Kokkola/Karleby,634930N,230906E,1023440,FI,KANNUS,635348N,235415E,0
1000317,FI,Kannus,635335N,235450E,1023440,FI,KANNUS,635348N,235415E,1
1000317,FI,Kannus,635335N,235450E,1034501,FI,YLIVIESKA,640418N,243224E,0
1000320,FI,Ylivieska,640447N,243200E,1034501,FI,YLIVIESKA,640418N,243224E,1
1000320,FI,Ylivieska,640447N,243200E,1034503,FI,OULAINEN,641606N,244910E,0
1000322,FI,Oulainen,641541N,244926E,1034503,FI,OULAINEN,641606N,244910E,1
1000322,FI,Oulainen,641541N,244926E,1000334,FI,VIHANTI,642904N,245937E,0
1000334,FI,Vihanti,642910N,250056E,1000334,FI,VIHANTI,642904N,245937E,1
1000334,FI,Vihanti,642910N,250056E,1000335,FI,RAAHE,644059N,242856E,0
1000335,FI,RAAHE,644059N,242856E,1000335,FI,RAAHE,644059N,242856E,1
1000335,FI,RAAHE,644059N,242856E,1000337,FI,RUUKKI,643937N,250553E,0
1000337,FI,Ruukki,643942N,250515E,1000337,FI,RUUKKI,643937N,250553E,1
1000337,FI,Ruukki,643942N,250515E,1035201,FI,KEMI,654410N,243419E,0
1000347,FI,Kemi,654518N,243707E,1035201,FI,KEMI,654410N,243419E,1
1000347,FI,Kemi,654518N,243707E,1000356,FI,PELLO,664702N,235934E,0
1000356,FI,Pello,664744N,240243E,1000356,FI,PELLO,664702N,235934E,1
1000356,FI,Pello,664744N,240243E,1000358,FI,KOLARI,672055N,235007E,0
1000358,FI,Kolari,672001N,234755E,1000358,FI,KOLARI,672055N,235007E,1
1000358,FI,Kolari,672001N,234755E,1035301,FI,ROVANIEMI,662956N,254211E,0
1000364,FI,Rovaniemi,662953N,254218E,1035301,FI,ROVANIEMI,662956N,254211E,1
1000364,FI,Rovaniemi,662953N,254218E,1035401,FI,KEMIJARVI,664326N,272405E,0
1000367,FI,Kemijärvi,664322N,272414E,1035401,FI,KEMIJARVI,664326N,272405E,1
1000367,FI,Kemijärvi,664322N,272414E,1035101,FI,OULU,650041N,252902E,0
1000370,FI,Oulu/Uleaborg,645954N,253136E,1035101,FI,OULU,650041N,252902E,1
1000370,FI,Oulu/Uleaborg,645954N,253136E,1000375,FI,MUHOS,644819N,255927E,0
1000375,FI,Muhos,644819N,255933E,1000375,FI,MUHOS,644819N,255927E,1
1000375,FI,Muhos,644819N,255933E,1000377,FI,VAALA,643328N,265033E,0
1000377,FI,Vaala,643326N,264916E,1000377,FI,VAALA,643328N,265033E,1
1000377,FI,Vaala,643326N,264916E,1000379,FI,PALTAMO,642401N,274920E,0
1000379,FI,Paltamo,642410N,275004E,1000379,FI,PALTAMO,642401N,274920E,1
1000379,FI,Paltamo,642410N,275004E,1036701,FI,KAJAANI,641311N,274418E,0
1000387,FI,Kajaani/Kajana,641311N,274417E,1036701,FI,KAJAANI,641311N,274418E,1
1000387,FI,Kajaani/Kajana,641311N,274417E,1036801,FI,KONTIOMAKI,642019N,280649E,0
1000390,FI,Kontiomäki,642030N,280935E,1036801,FI,KONTIOMAKI,642019N,280649E,1
1000390,FI,Kontiomäki,642030N,280935E,1036101,FI,PIEKSAMAKI,621805N,270959E,0
1000400,FI,Pieksämäki,621804N,271002E,1036101,FI,PIEKSAMAKI,621805N,270959E,1
1000400,FI,Pieksämäki,621804N,271002E,1036105,FI,SUONENJOKI,623725N,270729E,0
1000404,FI,Suonenjoki,623745N,270807E,1036105,FI,SUONENJOKI,623725N,270729E,1
1000404,FI,Suonenjoki,623745N,270807E,1036501,FI,KUOPIO,625348N,274054E,0
1000408,FI,Kuopio,625350N,274048E,1036501,FI,KUOPIO,625348N,274054E,1
1000408,FI,Kuopio,625350N,274048E,1000413,FI,SIILINJARVI,630429N,273957E,0
1000413,FI,Siilinjärvi,630449N,274002E,1000413,FI,SIILINJARVI,630429N,273957E,1
1000413,FI,Siilinjärvi,630449N,274002E,1000416,FI,LAPINLAHTI,632138N,272337E,0
1000416,FI,Lapinlahti,632139N,272336E,1000416,FI,LAPINLAHTI,632138N,272337E,1
1000416,FI,Lapinlahti,632139N,272336E,1036601,FI,IISALMI,633337N,271200E,0
1000420,FI,Iisalmi/Idensalmi,633338N,271201E,1036601,FI,IISALMI,633337N,271200E,1
1000420,FI,Iisalmi/Idensalmi,633338N,271201E,1000424,FI,SUKEVA,635152N,272521E,0
1000424,FI,Sukeva,635156N,272518E,1000424,FI,SUKEVA,635152N,272521E,1
1000424,FI,Sukeva,635156N,272518E,1036401,FI,VARKAUS,621847N,275226E,0
1000432,FI,Varkaus,621846N,275220E,1036401,FI,VARKAUS,621847N,275226E,1
1000432,FI,Varkaus,621846N,275220E,1000440,FI,VIINIJARVI,623830N,291409E,0
1000440,FI,Viinijärvi,623827N,291419E,1000440,FI,VIINIJARVI,623830N,291409E,1
1000440,FI,Viinijärvi,623827N,291419E,1000453,FI,KITEE,621002N,300421E,0
1000453,FI,Kitee,620554N,300814E,1000453,FI,KITEE,621002N,300421E,1
1000453,FI,Kitee,620554N,300814E,1037101,FI,JOENSUU,623559N,294634E,0
1000461,FI,Joensuu,623604N,294637E,1037101,FI,JOENSUU,623559N,294634E,1
1000461,FI,Joensuu,623604N,294637E,1037201,FI,LIEKSA,631905N,300059E,0
1000468,FI,Lieksa,631839N,300023E,1037201,FI,LIEKSA,631905N,300059E,1
1000468,FI,Lieksa,631839N,300023E,1037209,FI,NURMES,633228N,290816E,0
1000472,FI,Nurmes,633229N,290812E,1037209,FI,NURMES,633228N,290816E,1
1000472,FI,Nurmes,633229N,290812E,1032101,FI,KOUVOLA,605158N,264217E,0
1000480,FI,Kouvola,605156N,264217E,1032101,FI,KOUVOLA,605158N,264217E,1
1000480,FI,Kouvola,605156N,264217E,1000493,FI,"VAINIKKALA RAJA",000000N,000000E,0
1000493,FI,Vainikkala(Gr),605120N,282011E,1000493,FI,"VAINIKKALA RAJA",000000N,000000E,1
1000493,FI,Vainikkala(Gr),605120N,282011E,1032301,FI,LAPPEENRANTA,610253N,281142E,0
1000495,FI,Lappeenranta,610252N,281145E,1032301,FI,LAPPEENRANTA,610253N,281142E,1
